year,state,state_po,state_fips,democrat,dem_votes,republican,rep_votes,other_votes,total_votes,winning_party,electoral_votes_dem,electoral_votes_rep,total_electoral_votes,population,Latitude,Longitude
2020,WASHINGTON,WA,53,"BIDEN, JOSEPH R. JR",2369612,"TRUMP, DONALD J.",1584651,133368,4087631,DEMOCRAT,12,0,12,7693.612,38.8993487,-77.0145665
1976,WEST VIRGINIA,WV,54,"CARTER, JIMMY",435864,"FORD, GERALD",314726,0,750590,DEMOCRAT,6,0,6,1879.503,38.9201705,-80.1816905
1980,WEST VIRGINIA,WV,54,"CARTER, JIMMY",367462,"REAGAN, RONALD",334206,36047,737715,DEMOCRAT,6,0,6,1951.349,38.9201705,-80.1816905
1984,WEST VIRGINIA,WV,54,"MONDALE, WALTER",328125,"REAGAN, RONALD",405483,2134,735742,REPUBLICAN,0,6,6,1927.697,38.9201705,-80.1816905
1988,WEST VIRGINIA,WV,54,"DUKAKIS, MICHAEL",341016,"BUSH, GEORGE H.W.",310065,2230,653311,DEMOCRAT,6,0,6,1830.215,38.9201705,-80.1816905
1992,WEST VIRGINIA,WV,54,"CLINTON, BILL",331001,"BUSH, GEORGE H.W.",241974,110702,683677,DEMOCRAT,5,0,5,1805.462,38.9201705,-80.1816905
1996,WEST VIRGINIA,WV,54,"CLINTON, BILL",327812,"DOLE, ROBERT",233946,74701,636459,DEMOCRAT,5,0,5,1818.983,38.9201705,-80.1816905
2000,WEST VIRGINIA,WV,54,"GORE, AL",295497,"BUSH, GEORGE W.",336475,16152,648124,REPUBLICAN,0,5,5,1807.021,38.9201705,-80.1816905
2004,WEST VIRGINIA,WV,54,"KERRY, JOHN",326541,"BUSH, GEORGE W.",423778,5473,755792,REPUBLICAN,0,5,5,1816.438,38.9201705,-80.1816905
2008,WEST VIRGINIA,WV,54,"OBAMA, BARACK H.",303857,"MCCAIN, JOHN",397466,12128,713451,REPUBLICAN,0,5,5,1840.31,38.9201705,-80.1816905
2012,WEST VIRGINIA,WV,54,"OBAMA, BARACK H.",238269,"ROMNEY, MITT",417655,14514,670438,REPUBLICAN,0,5,5,1857.446,38.9201705,-80.1816905
2016,WEST VIRGINIA,WV,54,"CLINTON, HILLARY",188794,"TRUMP, DONALD J.",489371,34886,713051,REPUBLICAN,0,5,5,1832.435,38.9201705,-80.1816905
2020,WEST VIRGINIA,WV,54,"BIDEN, JOSEPH R. JR",235984,"TRUMP, DONALD J.",545382,13286,794652,REPUBLICAN,0,5,5,1784.787,38.9201705,-80.1816905
1976,WISCONSIN,WI,55,"CARTER, JIMMY",1040232,"FORD, GERALD",1004987,56117,2101336,DEMOCRAT,11,0,11,4595.904,44.7862968,-89.8267049
1980,WISCONSIN,WI,55,"CARTER, JIMMY",981584,"REAGAN, RONALD",1088845,202792,2273221,REPUBLICAN,0,11,11,4712.045,44.7862968,-89.8267049
1984,WISCONSIN,WI,55,"MONDALE, WALTER",995740,"REAGAN, RONALD",1198584,17365,2211689,REPUBLICAN,0,11,11,4735.563,44.7862968,-89.8267049
1988,WISCONSIN,WI,55,"DUKAKIS, MICHAEL",1126794,"BUSH, GEORGE H.W.",1047499,17315,2191608,DEMOCRAT,11,0,11,4822.388,44.7862968,-89.8267049
1992,WISCONSIN,WI,55,"CLINTON, BILL",1041066,"BUSH, GEORGE H.W.",930855,559143,2531064,DEMOCRAT,11,0,11,5004.636,44.7862968,-89.8267049
1996,WISCONSIN,WI,55,"CLINTON, BILL",1071971,"DOLE, ROBERT",845029,279169,2196169,DEMOCRAT,11,0,11,5173.828,44.7862968,-89.8267049
2000,WISCONSIN,WI,55,"GORE, AL",1242987,"BUSH, GEORGE W.",1237279,118341,2598607,DEMOCRAT,11,0,11,5373.999,44.7862968,-89.8267049
2004,WISCONSIN,WI,55,"KERRY, JOHN",1489504,"BUSH, GEORGE W.",1478120,29383,2997007,DEMOCRAT,10,0,10,5514.026,44.7862968,-89.8267049
2008,WISCONSIN,WI,55,"OBAMA, BARACK H.",1677211,"MCCAIN, JOHN",1262393,43813,2983417,DEMOCRAT,10,0,10,5640.996,44.7862968,-89.8267049
2012,WISCONSIN,WI,55,"OBAMA, BARACK H.",1620985,"ROMNEY, MITT",1410966,39483,3071434,DEMOCRAT,10,0,10,5720.825,44.7862968,-89.8267049
2016,WISCONSIN,WI,55,"CLINTON, HILLARY",1382536,"TRUMP, DONALD J.",1405284,188330,2976150,REPUBLICAN,0,10,10,5775.17,44.7862968,-89.8267049
2020,WISCONSIN,WI,55,"BIDEN, JOSEPH R. JR",1630866,"TRUMP, DONALD J.",1610184,56991,3298041,DEMOCRAT,10,0,10,5832.655,44.7862968,-89.8267049
1976,WYOMING,WY,56,"CARTER, JIMMY",62239,"FORD, GERALD",92717,1387,156343,REPUBLICAN,0,3,3,396.952,43.000325,-107.5545669
1980,WYOMING,WY,56,"CARTER, JIMMY",49427,"REAGAN, RONALD",110700,16586,176713,REPUBLICAN,0,3,3,474.185,43.000325,-107.5545669
1984,WYOMING,WY,56,"MONDALE, WALTER",53370,"REAGAN, RONALD",133241,2357,188968,REPUBLICAN,0,3,3,504.896,43.000325,-107.5545669
1988,WYOMING,WY,56,"DUKAKIS, MICHAEL",67113,"BUSH, GEORGE H.W.",106867,2571,176551,REPUBLICAN,0,3,3,465.101,43.000325,-107.5545669
1992,WYOMING,WY,56,"CLINTON, BILL",68160,"BUSH, GEORGE H.W.",79347,52377,199884,REPUBLICAN,0,3,3,463.491,43.000325,-107.5545669
1996,WYOMING,WY,56,"CLINTON, BILL",77934,"DOLE, ROBERT",105388,28249,211571,REPUBLICAN,0,3,3,480.085,43.000325,-107.5545669
2000,WYOMING,WY,56,"GORE, AL",60481,"BUSH, GEORGE W.",147947,5298,213726,REPUBLICAN,0,3,3,494.3,43.000325,-107.5545669
2004,WYOMING,WY,56,"KERRY, JOHN",70776,"BUSH, GEORGE W.",167629,5456,243861,REPUBLICAN,0,3,3,509.106,43.000325,-107.5545669
2008,WYOMING,WY,56,"OBAMA, BARACK H.",82868,"MCCAIN, JOHN",164958,7078,254904,REPUBLICAN,0,3,3,546.043,43.000325,-107.5545669
2012,WYOMING,WY,56,"OBAMA, BARACK H.",69286,"ROMNEY, MITT",170962,10453,250701,REPUBLICAN,0,3,3,576.656,43.000325,-107.5545669
2016,WYOMING,WY,56,"CLINTON, HILLARY",55973,"TRUMP, DONALD J.",174419,28396,258788,REPUBLICAN,0,3,3,585.243,43.000325,-107.5545669
2020,WYOMING,WY,56,"BIDEN, JOSEPH R. JR",73491,"TRUMP, DONALD J.",193559,11453,278503,REPUBLICAN,0,3,3,582.328,43.000325,-107.5545669
